activity_id,activity_step_id,name,available_at,due_at,poster_id,started,completed,processed,submission_count,grade_created_at,grade
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,018d31df-f5ce-4e0e-a291-356a4198eaaa,true,false,false,0,null,null
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,040ff7b1-940d-4649-9695-d4ef91c6227e,true,true,false,2,2026-02-04 15:57:01.411569+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0512cbbf-682d-4de7-baea-c2341c146e00,true,true,false,1,2026-02-06 04:19:20.323676+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,05767fd1-c4db-4b8b-8652-ee5898216ba5,true,true,false,1,2026-02-07 23:21:52.011968+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,06139f03-cbd3-468f-812d-4e9593f0f3a3,true,true,false,1,2026-02-07 03:10:09.836337+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,066ed2ad-3afd-4d9a-8761-8ca35a572813,true,true,false,1,2026-02-07 16:53:56.040872+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,06dd4ab6-2dbd-4ab9-a99b-2808f0fd3e2f,true,true,false,1,2026-02-08 03:29:41.918092+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,071e3f5b-78ea-47d8-a2c8-d21dea04751d,true,true,false,1,2026-02-06 17:20:17.705621+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,08e86a67-83eb-47f4-a5bd-0d5428b9f75e,true,true,false,1,2026-02-08 03:16:42.413859+00,0
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0bb7957e-a3ca-4035-928f-76af7e6776ee,true,false,false,0,null,null
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0bf89eb0-550e-4327-b74c-9b05e123b51e,true,true,false,1,2026-02-08 00:03:35.804688+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0cbf9d0f-2275-46e2-a550-37b1f6b083b0,true,false,false,0,null,null
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0e00178b-f439-4a49-88d8-825569586d79,true,false,false,0,null,null
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,0edc9e4f-da38-4dd8-8c6a-d0c0b41726d7,true,true,false,1,2026-02-07 21:22:13.580649+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1281b270-93f9-4a3e-b46f-2c54d1d272ac,true,true,false,1,2026-02-02 19:38:17.40739+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1347cbaf-9601-4b80-8025-479ada48f409,true,true,false,1,2026-02-07 23:45:41.444943+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,14193fbb-7d40-4a57-b854-649aa3d1839c,true,true,false,2,2026-02-04 17:58:20.127671+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,158bc716-e54e-43fc-abfc-e59d0155a409,true,true,false,1,2026-02-05 03:16:54.96283+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,17ced79a-c2e0-476f-9066-d4658f8e4085,true,true,false,1,2026-02-07 22:28:53.721057+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,180797e4-f478-4f2a-8658-9773dfd06d53,true,true,false,1,2026-02-04 21:22:47.561998+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1872a586-8731-4186-94e4-ef7443007a3a,true,false,false,0,null,null
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,18e414e4-30a8-4cd6-852d-6915aa8c87d2,true,true,false,3,2026-02-03 04:10:05.06785+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1b6f920e-d0bc-458d-abf8-a214ec9c2aa7,true,true,false,2,2026-02-07 17:27:25.066582+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1bec25f3-5065-4751-acc3-8ac073c5b30e,true,false,false,0,null,null
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1cc68b87-4ecc-420b-821d-345a8efe2dbd,true,true,false,1,2026-02-04 02:02:01.17244+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1cdd3667-e771-4455-a94a-d05ebea126d9,true,true,false,1,2026-02-05 21:39:00.476599+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1da4f076-9164-479b-b6f5-e68f70712fbc,true,true,false,1,2026-02-05 17:14:28.291639+00,1
5deda278-49f9-490a-84ad-a04f4c8af991,9d5c086a-a116-4923-af32-533188f17e64,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,1fc261da-a075-40a3-a601-bf7ddda8d5a7,true,true,false,3,2026-02-07 19:20:55.058881+00,1
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,211f76da-deeb-4fb5-9015-744d2167f3c1,true,false,false,0,null,null
0b1e9356-146c-4e63-8345-0404033642f7,12ea7909-7d44-44e5-9e95-d53f2214cc4c,Week 3 Reading Elaboration: Let's Debate!,2026-02-01 05:00:00+00,2026-02-08 04:59:00+00,21a50085-f24b-4bf4-ada3-29cbabe048d8,true,true,false,3,2026-02-07 22:15:48.978663+00,1
